,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
9582,17,6,38,1,4,2,1.0,1.0,1,75,14.0,12.0,3.0,8.0,4.0,5.0,10.0,7.0,1.0,1.0,0.0,0.0
9583,17,35,25,0,2,2,0.0,1.0,2,62,3.0,17.0,0.0,6.0,3.0,10.0,6.0,8.0,1.0,0.0,0.0,0.0
9584,17,6,40,2,1,0,0.0,0.0,1,50,17.0,11.0,5.0,6.0,3.0,2.0,6.0,9.0,1.0,2.0,0.0,0.0
9585,17,19,15,0,2,2,0.0,1.0,2,75,6.0,17.0,2.0,6.0,4.0,7.0,11.0,12.0,3.0,2.0,0.0,0.0
9586,17,24,39,5,0,0,2.0,0.0,0,4,13.0,4.0,10.0,1.0,6.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0
9587,17,35,17,1,2,2,0.0,0.0,1,73,9.0,17.0,4.0,9.0,1.0,9.0,13.0,12.0,1.0,1.0,1.0,0.0
9588,17,9,23,0,2,2,0.0,0.0,1,19,15.0,6.0,3.0,4.0,6.0,1.0,11.0,13.0,2.0,4.0,0.0,1.0
9589,17,15,24,1,2,2,1.0,0.0,0,94,6.0,16.0,3.0,6.0,4.0,6.0,6.0,8.0,2.0,2.0,0.0,0.0
9590,17,17,25,1,3,2,0.0,3.0,2,102,6.0,18.0,2.0,4.0,2.0,11.0,10.0,8.0,0.0,0.0,0.0,0.0
9591,17,26,37,2,0,0,2.0,0.0,0,116,11.0,3.0,5.0,2.0,3.0,3.0,5.0,13.0,0.0,0.0,0.0,0.0
9592,17,28,19,1,0,0,0.0,0.0,1,73,18.0,4.0,3.0,0.0,3.0,3.0,9.0,10.0,1.0,4.0,0.0,0.0
9593,17,39,6,2,2,1,1.0,1.0,1,2,16.0,13.0,5.0,6.0,7.0,4.0,16.0,6.0,4.0,0.0,0.0,0.0
